project_id;maturity_id;category_id;name;description;organization_id
00000000-0001-0000-0000-000000000000;2;0;artifact-hub;Artifact Hub is a web-based application that enables finding, installing, and publishing packages and configurations for CNCF projects.;00000001-0000-0000-0000-000000000000
00000000-0002-0000-0000-000000000000;0;0;container-d;An industry-standard container runtime with an emphasis on simplicity, robustness and portability.;00000002-0000-0000-0000-000000000000
00000000-0003-0000-0000-000000000000;0;0;core-dns;CoreDNS is a DNS server. It is written in Go. It can be used in a multitude of environments because of its flexibility. ;00000003-0000-0000-0000-000000000000
00000000-0004-0000-0000-000000000000;0;0;envoy;Envoy is an open source edge and service proxy, designed for cloud-native applications.;00000004-0000-0000-0000-000000000000
00000000-0005-0000-0000-000000000000;0;0;etcd;Distributed reliable key-value store for the most critical data of a distributed system.;00000005-0000-0000-0000-000000000000
00000000-0006-0000-0000-000000000000;0;0;fluent-d;Fluentd is an open source data collector for unified logging layer.;00000006-0000-0000-0000-000000000000
00000000-0007-0000-0000-000000000000;0;0;harbor;An open source trusted cloud native registry project that stores, signs, and scans content.;00000007-0000-0000-0000-000000000000
00000000-0008-0000-0000-000000000000;0;0;helm;The Kubernetes Package Manager.;00000008-0000-0000-0000-000000000000
00000000-0009-0000-0000-000000000000;0;0;jaeger;Jaeger: open source, end-to-end distributed tracing. Monitor and troubleshoot transactions in complex distributed systems.;00000009-0000-0000-0000-000000000000
00000000-0010-0000-0000-000000000000;0;0;kubernetes;Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications.;00000010-0000-0000-0000-000000000000
00000000-0011-0000-0000-000000000000;0;0;linker-d;Ultralight, security-first service mesh for Kubernetes. Main repo for Linkerd 2.x.;00000011-0000-0000-0000-000000000000
00000000-0012-0000-0000-000000000000;0;0;opa;An open source, general-purpose policy engine.;00000012-0000-0000-0000-000000000000
00000000-0013-0000-0000-000000000000;0;0;prometheus;The Prometheus monitoring system and time series database.;00000013-0000-0000-0000-000000000000
00000000-0014-0000-0000-000000000000;0;0;rook;Storage Orchestration for Kubernetes.;00000014-0000-0000-0000-000000000000
00000000-0015-0000-0000-000000000000;0;0;tuf;Python reference implementation of The Update Framework (TUF).;00000015-0000-0000-0000-000000000000
00000000-0016-0000-0000-000000000000;0;0;ti-kv;A distributed transactional key-value database. Based on the design of Google Spanner and HBase, but simpler to manage and without dependencies on any distributed filesystem.;00000016-0000-0000-0000-000000000000
00000000-0017-0000-0000-000000000000;0;0;vitess;Vitess is a database clustering system for horizontal scaling of MySQL.;00000017-0000-0000-0000-000000000000
00000000-0018-0000-0000-000000000000;1;0;argo;Open source tools for Kubernetes to run workflows, manage clusters, and do GitOps right.;00000018-0000-0000-0000-000000000000
00000000-0019-0000-0000-000000000000;1;0;buildpacks;Cloud Native Buildpacks transform your application source code into images that can run on any cloud.;00000019-0000-0000-0000-000000000000
00000000-0020-0000-0000-000000000000;1;0;cilium;eBPF-based Networking, Observability, and Security.;00000020-0000-0000-0000-000000000000
00000000-0021-0000-0000-000000000000;1;0;cloudevents;A specification for describing event data in a common.;00000021-0000-0000-0000-000000000000
00000000-0022-0000-0000-000000000000;1;0;cni;Container Network Interface - networking for Linux containers.;00000022-0000-0000-0000-000000000000
00000000-0023-0000-0000-000000000000;1;0;contour;Contour is an open source Kubernetes ingress controller providing the control plane for the Envoy edge and service proxy.;00000023-0000-0000-0000-000000000000
00000000-0024-0000-0000-000000000000;1;0;cortex;A multitenant, horizontally scalable Prometheus as a Service.;00000024-0000-0000-0000-000000000000
00000000-0025-0000-0000-000000000000;1;0;cri-o;Open Container Initiative-based implementation of Kubernetes Container Runtime Interface.;00000025-0000-0000-0000-000000000000
00000000-0026-0000-0000-000000000000;1;0;crossplane;Compose cloud infrastructure and services into custom platform APIs.;00000026-0000-0000-0000-000000000000
00000000-0027-0000-0000-000000000000;1;0;dapr;Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.;00000027-0000-0000-0000-000000000000
00000000-0028-0000-0000-000000000000;1;0;dragonfly;Dragonfly is an intelligent P2P based image and file distribution system, it also provides a variety of enterprise-level (efficiency, stability, safety, low-cost) product features.;00000028-0000-0000-0000-000000000000
00000000-0029-0000-0000-000000000000;1;0;emissary-ingress;open source Kubernetes-native API gateway for microservices built on the Envoy Proxy.;00000029-0000-0000-0000-000000000000
00000000-0030-0000-0000-000000000000;1;0;falco;Falco, the cloud-native runtime security project, is the de facto Kubernetes threat detection engine.;00000030-0000-0000-0000-000000000000
00000000-0031-0000-0000-000000000000;1;0;flux-project;Open and extensible continuous delivery solution for Kubernetes. Powered by GitOps Toolkit.;00000031-0000-0000-0000-000000000000
00000000-0032-0000-0000-000000000000;1;0;grpc;A high performance, open source universal RPC framework.;00000032-0000-0000-0000-000000000000
00000000-0033-0000-0000-000000000000;1;0;keda;KEDA is a Kubernetes-based Event Driven Autoscaling component. It provides event driven scale for any container running in Kubernetes.;00000033-0000-0000-0000-000000000000
00000000-0034-0000-0000-000000000000;1;0;kube-edge;A Kubernetes Native Edge Computing Framework.;00000034-0000-0000-0000-000000000000
00000000-0035-0000-0000-000000000000;1;0;litmus-chaos;Litmus is an open source Chaos Engineering platform that enables teams to identify weaknesses & potential outages in infrastructures by inducing chaos tests in a controlled way.;00000035-0000-0000-0000-000000000000
00000000-0036-0000-0000-000000000000;1;0;loghorn;Cloud-Native distributed storage built on and for Kubernetes.;00000036-0000-0000-0000-000000000000
00000000-0037-0000-0000-000000000000;1;0;nats;Connective Technology for Adaptive Edge & Distributed Systems.;00000037-0000-0000-0000-000000000000
00000000-0038-0000-0000-000000000000;1;0;notary;Notary is a project that allows anyone to have trust over arbitrary collections of data.;00000038-0000-0000-0000-000000000000
00000000-0039-0000-0000-000000000000;1;0;open-telemetry;High-quality, ubiquitous, and portable telemetry to enable effective observability.;00000039-0000-0000-0000-000000000000
00000000-0040-0000-0000-000000000000;1;0;operator-framework;SDK for building Kubernetes applications. Provides high level APIs, useful abstractions, and project scaffolding.;00000040-0000-0000-0000-000000000000
00000000-0041-0000-0000-000000000000;1;0;spiffe;A universal identity control plane for distributed systems.;00000041-0000-0000-0000-000000000000
00000000-0042-0000-0000-000000000000;1;0;thanos;Open source, highly available Prometheus setup with long term storage capabilities.;00000042-0000-0000-0000-000000000000
00000000-0043-0000-0000-000000000000;2;0;akri;A Kubernetes Resource Interface for the Edge.;00000043-0000-0000-0000-000000000000
00000000-0044-0000-0000-000000000000;2;0;antrea;Kubernetes networking based on Open vSwitch.;00000044-0000-0000-0000-000000000000
00000000-0045-0000-0000-000000000000;2;0;athenz;Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic infrastructures.;00000045-0000-0000-0000-000000000000
00000000-0046-0000-0000-000000000000;2;0;backstage;Backstage is an open platform for building developer portals.;00000046-0000-0000-0000-000000000000
00000000-0047-0000-0000-000000000000;2;0;bfe;Open-source layer 7 load balancer derived from proprietary Baidu FrontEnd.;00000047-0000-0000-0000-000000000000
00000000-0048-0000-0000-000000000000;2;0;brigade;Brigade is a tool for running scriptable, automated tasks.;00000048-0000-0000-0000-000000000000
00000000-0049-0000-0000-000000000000;2;0;cdk8s;Cloud Development Kit for Kubernetes.;00000049-0000-0000-0000-000000000000
00000000-0050-0000-0000-000000000000;2;0;cert-manager;Automatically provision and manage TLS certificates in Kubernetes.;00000050-0000-0000-0000-000000000000
00000000-0051-0000-0000-000000000000;2;0;chaos-mesh;A Chaos Engineering Platform for Kubernetes.;00000051-0000-0000-0000-000000000000
00000000-0052-0000-0000-000000000000;2;0;chaos-blade;An easy to use and powerful chaos engineering experiment toolkit.;00000052-0000-0000-0000-000000000000
00000000-0053-0000-0000-000000000000;2;0;chubao-fs;ChubaoFS (abbrev. CBFS) is a cloud native distributed file system and object store.;00000053-0000-0000-0000-000000000000
00000000-0054-0000-0000-000000000000;2;0;cloud-custodian;Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources.;00000054-0000-0000-0000-000000000000
00000000-0055-0000-0000-000000000000;2;0;cni-genie;CNI-Genie for choosing pod network of your choice during deployment time. Supported pod networks - Calico, Flannel, Romana, Weave.;00000055-0000-0000-0000-000000000000
00000000-0056-0000-0000-000000000000;2;0;curiefense;Curiefense is a unified, open source platform protecting cloud native applications.;00000056-0000-0000-0000-000000000000
00000000-0057-0000-0000-000000000000;2;0;dex;OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.;00000057-0000-0000-0000-000000000000
00000000-0058-0000-0000-000000000000;2;0;fluid;Fluid is an orchestration platform for elastic data abstraction and acceleration in cloud native environment.;00000058-0000-0000-0000-000000000000
00000000-0059-0000-0000-000000000000;2;0;fonio;Data first monitoring agent using (e)BPF, built on RedBPF.;00000059-0000-0000-0000-000000000000
00000000-0060-0000-0000-000000000000;2;0;in-toto;in-toto is a framework to protect supply chain integrity.;00000060-0000-0000-0000-000000000000
00000000-0061-0000-0000-000000000000;2;0;inclavare;A novel container runtime, aka confidential container, for cloud-native confidential computing and enclave runtime ecosystem.;00000061-0000-0000-0000-000000000000
00000000-0062-0000-0000-000000000000;1;0;flagger;Progressive delivery Kubernetes operator (Canary, A/B Testing and Blue/Green deployments).;00000031-0000-0000-0000-000000000000
00000000-0063-0000-0000-000000000000;2;0;k3s;The certified Kubernetes distribution built for IoT & Edge computing.;00000062-0000-0000-0000-000000000000
00000000-0064-0000-0000-000000000000;2;0;k8gb;A cloud native Kubernetes Global Balancer.;00000063-0000-0000-0000-000000000000
00000000-0065-0000-0000-000000000000;2;0;k8up;K8up is a Kubernetes Operator distributed via a Helm chart, compatible with OpenShift and plain Kubernetes.;00000064-0000-0000-0000-000000000000
00000000-0066-0000-0000-000000000000;2;0;karmada;Open, Multi-Cloud, Multi-Cluster Kubernetes Orchestration.;00000065-0000-0000-0000-000000000000
00000000-0067-0000-0000-000000000000;2;0;keptn;Cloud-native application life-cycle orchestration. Keptn automates your SLO-driven multi-stage delivery and operations & remediation of your applications.;00000066-0000-0000-0000-000000000000
00000000-0068-0000-0000-000000000000;2;0;keylime;Bootstrap & Maintain Trust on the Edge / Cloud and IoT.;00000067-0000-0000-0000-000000000000
00000000-0069-0000-0000-000000000000;2;0;krustlet;Run WebAssembly workloads in your Kubernetes cluster.;00000068-0000-0000-0000-000000000000
00000000-0070-0000-0000-000000000000;2;0;kube-ovn;A Kubernetes Network Fabric for Enterprises that is Rich in Functions and Easy in Operations.;00000069-0000-0000-0000-000000000000
00000000-0071-0000-0000-000000000000;2;0;kuberhealthy;A Kubernetes operator for running synthetic checks as pods. Works great with Prometheus!;00000070-0000-0000-0000-000000000000
00000000-0072-0000-0000-000000000000;2;0;kubevela;Make shipping applications more enjoyable.;00000071-0000-0000-0000-000000000000
00000000-0073-0000-0000-000000000000;2;0;kubevirt;Kubernetes Virtualization API and runtime in order to define and manage virtual machines.;00000072-0000-0000-0000-000000000000
00000000-0074-0000-0000-000000000000;2;0;kudo;Kubernetes Universal Declarative Operator.;00000073-0000-0000-0000-000000000000
00000000-0075-0000-0000-000000000000;2;0;kuma;The universal Envoy service mesh for distributed service connectivity.;00000074-0000-0000-0000-000000000000
00000000-0076-0000-0000-000000000000;2;0;kyverno;Kubernetes Native Policy Management.;00000075-0000-0000-0000-000000000000
00000000-0077-0000-0000-000000000000;2;0;meshery;The service mesh management plane.;00000076-0000-0000-0000-000000000000
00000000-0078-0000-0000-000000000000;2;0;metal3-io;Bare metal host provisioning for Kubernetes.;00000077-0000-0000-0000-000000000000
00000000-0079-0000-0000-000000000000;2;0;network-service-mesh;The Hybrid/Multi-cloud IP Service Mesh.;00000078-0000-0000-0000-000000000000
00000000-0080-0000-0000-000000000000;2;0;nocalhost;Nocalhost is Cloud Native Development Environment.;00000079-0000-0000-0000-000000000000
00000000-0081-0000-0000-000000000000;2;0;ocm;Make working with many Kubernetes clusters super easy regardless of where they are deployed.;00000080-0000-0000-0000-000000000000
00000000-0082-0000-0000-000000000000;2;0;osm;Open Service Mesh (OSM) is a lightweight, extensible, cloud native service mesh that allows users to uniformly manage, secure, and get out-of-the-box observability features for highly dynamic microservice environments.;00000081-0000-0000-0000-000000000000
00000000-0083-0000-0000-000000000000;2;0;openebs;Leading Open Source Container Attached Storage, built using Cloud Native Architecture, simplifies running Stateful Applications on Kubernetes.;00000082-0000-0000-0000-000000000000
00000000-0084-0000-0000-000000000000;2;0;open-gitops;OpenGitOps is a set of open-source standards, best practices, and community-focused education to help organizations adopt a structured, standardized approach to implementing GitOps.;00000083-0000-0000-0000-000000000000
00000000-0085-0000-0000-000000000000;2;0;open-kruise;Automate application management on Kubernetes.;00000084-0000-0000-0000-000000000000
00000000-0086-0000-0000-000000000000;2;0;open-metrics;Evolving the Prometheus exposition format into a standard.;00000085-0000-0000-0000-000000000000
00000000-0087-0000-0000-000000000000;2;0;openyurt;An open platform that extending your native Kubernetes to edge.;00000086-0000-0000-0000-000000000000
00000000-0088-0000-0000-000000000000;2;0;oras;ORAS is the tool for working with OCI Artifacts.;00000087-0000-0000-0000-000000000000
00000000-0089-0000-0000-000000000000;2;0;parsec;Platform AbstRaction for SECurity service.;00000088-0000-0000-0000-000000000000
00000000-0090-0000-0000-000000000000;2;0;piraeus;High Available Datastore for Kubernetes.;00000089-0000-0000-0000-000000000000
00000000-0091-0000-0000-000000000000;2;0;pixie;Open source Kubernetes observability for developers.;00000090-0000-0000-0000-000000000000
00000000-0092-0000-0000-000000000000;2;0;porter;Porter enables you to package your application artifact, client tools, configuration and deployment logic together as a versioned bundle that you can distribute, and install with a single command.;00000091-0000-0000-0000-000000000000
00000000-0093-0000-0000-000000000000;2;0;pravega;Streaming as a new software defined storage primitive.;00000092-0000-0000-0000-000000000000
00000000-0094-0000-0000-000000000000;2;0;schemahero;A Kubernetes operator for declarative database schema management (gitops for database schemas).;00000093-0000-0000-0000-000000000000
00000000-0095-0000-0000-000000000000;2;0;serverless-workflow;Standards-based DSL and open-source dev tools and runtimes are at the heart of the Serverless Workflow project.;00000094-0000-0000-0000-000000000000
00000000-0096-0000-0000-000000000000;2;0;smi;A standard interface for service meshes on Kubernetes.;00000095-0000-0000-0000-000000000000
00000000-0097-0000-0000-000000000000;2;0;smp;Standardizing Service Mesh Value Measurement.;00000096-0000-0000-0000-000000000000
00000000-0098-0000-0000-000000000000;2;0;skooner;Simple Kubernetes real-time dashboard and management.;00000097-0000-0000-0000-000000000000
00000000-0099-0000-0000-000000000000;2;0;strimzi;Apache Kafka running on Kubernetes.;00000098-0000-0000-0000-000000000000
00000000-0100-0000-0000-000000000000;2;0;submariner;Submariner enables direct networking between Pods and Services in different Kubernetes clusters, either on-premises or in the cloud.;00000099-0000-0000-0000-000000000000
00000000-0101-0000-0000-000000000000;2;0;superedge;An edge-native container management system for edge computing.;00000100-0000-0000-0000-000000000000
00000000-0102-0000-0000-000000000000;2;0;telepresence;Local development against a remote Kubernetes or OpenShift cluster.;00000101-0000-0000-0000-000000000000
00000000-0103-0000-0000-000000000000;2;0;tinkerbell;A workflow engine for provisioning bare metal.;00000102-0000-0000-0000-000000000000
00000000-0104-0000-0000-000000000000;2;0;tremor;An early-stage event processing system for unstructured data with rich support for structural pattern-matching, filtering and transformation.;00000103-0000-0000-0000-000000000000
00000000-0105-0000-0000-000000000000;2;0;trickster;Open Source HTTP Reverse Proxy Cache and Time Series Dashboard Accelerator.;00000104-0000-0000-0000-000000000000
00000000-0106-0000-0000-000000000000;2;0;vineyard;Vineyard (v6d) is an in-memory immutable data manager.;00000105-0000-0000-0000-000000000000
00000000-0107-0000-0000-000000000000;2;0;virtual-kubelet;Virtual Kubelet is an open source Kubernetes kubelet implementation.;00000106-0000-0000-0000-000000000000
00000000-0108-0000-0000-000000000000;2;0;volcano;A Kubernetes native system for high-performance workloads.;00000107-0000-0000-0000-000000000000
00000000-0109-0000-0000-000000000000;2;0;wasm-cloud;wasmCloud allows for simple, secure, distributed application development using WebAssembly actors and capability providers.;00000108-0000-0000-0000-000000000000
00000000-0110-0000-0000-000000000000;2;0;wasm-edge;WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.;00000109-0000-0000-0000-000000000000
